City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
326,West Bay,KY,19.3667,-81.4167,89.67,78,20,11.5,few clouds
327,Saint-Francois,FR,46.4154,3.9054,78.24,31,0,5.75,clear sky
328,Hagenow,DE,53.4333,11.1833,63.37,50,16,12.03,few clouds
329,Suntar,RU,62.1444,117.6319,71.96,80,11,4.99,few clouds
330,Chachapoyas,PE,-6.2317,-77.869,66.96,51,32,7.45,light rain
331,Husavik,IS,66.0449,-17.3389,61.45,68,100,16.84,overcast clouds
332,Truckee,US,39.328,-120.1833,90.63,35,84,1.01,broken clouds
333,Palmer,US,42.1584,-72.3287,84.43,44,75,9.22,broken clouds
334,Altamira,BR,-3.2033,-52.2064,86.41,56,60,1.74,broken clouds
335,Cabo San Lucas,MX,22.8909,-109.9124,94.6,74,20,11.5,few clouds
336,Ulaanbaatar,MN,47.9077,106.8832,46.53,81,20,2.24,few clouds
337,Vikhorevka,RU,56.1201,101.1636,60.39,73,100,4.25,overcast clouds
338,Moree,AU,-29.4667,149.85,43.56,81,97,7.38,overcast clouds
339,Noumea,NC,-22.2763,166.4572,70.0,99,7,3.18,clear sky
340,Bathsheba,BB,13.2167,-59.5167,88.41,86,40,18.41,scattered clouds
341,Moron,AR,-34.6534,-58.6198,70.95,95,94,1.95,overcast clouds
342,Brigantine,US,39.4101,-74.3646,86.04,63,75,8.05,broken clouds
343,Pavullo Nel Frignano,IT,44.3315,10.835,80.24,62,57,6.13,broken clouds
344,Papayal,PE,-4.0761,-80.7361,84.24,49,52,9.91,broken clouds
